cle,defaut_registre,statut_lecture,phase_prouvee,unites_compilation_lectrices,references_source
COMFORT_HOUSE_RELIEF,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.h:790
ETHOS_LUXURY_MIN_TIER,4,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4997; scps\scps_econ.c:5054; scps\scps_econ.c:5257
ETHOS_LUXURY_WEIGHT,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5262
SPEC_BUY_BAND,0.80000001,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2899; scps\scps_ai.c:2899; scps\scps_doctrines.c:56
SPEC_SELL_BAND,1.25,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2920; scps\scps_ai.c:2920; scps\scps_doctrines.c:56
SPEC_GOLD_FLOOR,350,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2899; scps\scps_ai.c:2902
AI_WAR_DECISIVE,50,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:585; scps\scps_ai.c:1912; scps\scps_doctrines.c:84
AI_WAR_EXHAUST,10,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:585; scps\scps_ai.c:1913; scps\scps_doctrines.c:84
AI_WAR_BASELINE,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1868
AI_WAR_SATURATION,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1869
AI_WAR_CAP,3,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1882
EMPIRE_CAP,13000,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1785
CITY_CAP,6500,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1786
EMPIRE_SEED,4000,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2075
CITY_SEED,2000,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2076
WORLD_PROV_BASE,24,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\audit_eco.c:47; scps\diplo_demo.c:63; scps\econ_production_demo.c:83; scps\scps_world.c:4879; scps\social_demo.c:155
WORLD_PROV_PER_EMPIRE,120,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\audit_eco.c:48; scps\diplo_demo.c:64; scps\econ_production_demo.c:84; scps\scps_world.c:4880; scps\social_demo.c:156
WORLD_PROV_PER_CITY,5,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\audit_eco.c:49; scps\diplo_demo.c:65; scps\econ_production_demo.c:85; scps\scps_world.c:4881; scps\social_demo.c:157
WORLD_EMP_COMFORT_LOW,0.57999998,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:4873
WORLD_EMP_COMFORT_FULL,6,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:4872
WORLD_PROV_SAT_K,124416,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:1991
RIVER_FILL,1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:1142; scps\scps_world.c:3476
RIVER_ARID_NIL,1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:4746
RIVER_NILE_KEEP,110,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:4754
SPAWN_SAFE_HOPS,6,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:2554
SPAWN_SAFE_HOPS_MIN,5,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:2555
REGION_RAW_KEEP,2,aucune lecture moteur trouvee,non certifiee individuellement,,
EXTRACT_GEO_REF,4.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4002; scps\scps_econ.c:5974; scps\scps_econ.c:6627
EXTRACT_GEO_CAP,3,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4003; scps\scps_econ.c:5975; scps\scps_econ.c:6628
EXTRACT_LABOR_SHARE,0.64999998,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:95; scps\scps_econ.c:4004; scps\scps_econ.c:5976
FOOD_NEED,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4005; scps\scps_econ.c:5961
SPAWN_FOOD_RAW,12,aucune lecture moteur trouvee,non certifiee individuellement,,
AI_SAFETY_HORIZON,12,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_api.c; scps\scps_diplo.c; scps\scps_econ.c,scps\scps_ai.c:321; scps\scps_ai.c:323; scps\scps_ai.c:1351; scps\scps_api.c:4143; scps\scps_diplo.c:1685; scps\scps_econ.c:6626
AI_PROJ_HORIZON,25,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_api.c; scps\scps_diplo.c; scps\scps_econ.c,scps\scps_ai.c:320; scps\scps_ai.c:474; scps\scps_ai.c:1963; scps\scps_api.c:4142; scps\scps_diplo.c:1200; scps\scps_econ.c:6624
AI_SAFE_STOCK_MONTHS,6,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:324; scps\scps_ai.c:324; scps\scps_doctrines.c:55
COLONY_SURVIVE_SEED,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6631
COLONY_WEALTH_SHARE,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6209; scps\scps_econ.c:6362; scps\scps_econ.c:6796
AI_COLONY_NEEDS_W,1.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6629
AI_COLONY_TEMPO,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6585
AI_COLONY_PER_YEAR,4,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6642
NAVY_COLONY_CD_DAYS,180,lecture moteur presente,non certifiee individuellement,scps\scps_navy.c,scps\scps_navy.c:28
COLONY_CROSS_DEAD,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6669
SPAWN_CONT_QUOTA,1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:2525
SPAWN_CONT_MIN_HAB,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:2536
HAB_CULTURE,1,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c; scps\scps_world.c,scps\scps_demography.c:1231; scps\scps_world.c:2794
PASSIVE_SEEP,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_api_demo.c:47; scps\scps_api_demo.c:1184; scps\scps_api_demo.c:1243; scps\scps_econ.c:6418
SEEP_POP_MONTH,2.8,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6420
SEEP_TARGET,100,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6421
FAC_CLASS_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_factions.c,scps\scps_factions.c:90
FAC_TINT_GAIN,2,lecture moteur presente,non certifiee individuellement,scps\scps_factions.c,scps\scps_factions.c:492
EDI_ELITE_JOBS,100,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:706; scps\scps_demography.c:706; scps\scps_doctrines.c:138
EDI_ELITE_POP_PCT,0.0040000002,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:728; scps\scps_demography.c:728; scps\scps_doctrines.c:155
POL_SAT_W,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_econ.c,scps\scps_api.c:5737; scps\scps_doctrines.c:151; scps\scps_econ.c:5318; scps\scps_econ.c:5318
POL_SAT_CAP,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_econ.c,scps\scps_api.c:5737; scps\scps_econ.c:5328
POP_MOOD_GAIN,1,lecture moteur presente,non certifiee individuellement,scps\scps_factions.c,scps\scps_factions.c:55
MANUF_QOUT_MULT,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:98; scps\scps_econ.c:4370; scps\scps_econ.c:4370
BUY_RATE_ON,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2534
DISEASE_ON,0,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:4013; scps\scps_events.c:4091
BUY_RATE_ALL,0,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1711
VAL_DRIFT_RATE,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:867
VAL_HYST,0.80000001,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:869
VAL_W_CONF,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:870
VAL_W_WAR,0.80000001,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:871
VAL_W_K,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:872
ELITE_WEALTH_PROMOTE,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:3818
ELITE_RIVAL_W,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:256
ASSIM_STATE_W,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1282
RUIN_POP_FLOOR,50,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6525
RUIN_FAMINE_GATE,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6539
MANUMIT_INTEG,0.94999999,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1427
TAX_FLOOR_FRAC,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2755; scps\scps_econ.c:4722
NAVY_COLONY_MAX_DAYS,240,lecture moteur presente,non certifiee individuellement,scps\scps_navy.c,scps\scps_navy.c:27
NAVY_TRANSPORT_MIN,1,lecture moteur presente,non certifiee individuellement,scps\scps_navy.c,scps\scps_navy.c:491
NAVY_BUILD_SUPPLY_FLOOR,1,aucune lecture moteur trouvee,non certifiee individuellement,,
WAR_DEATHS_REAL,1,lecture moteur presente,non certifiee individuellement,scps\scps_sim.c,scps\scps_sim.c:312
BANKRUPTCY_GARNISH,0.75,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4492
RELIG_MINORITY_SAT,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:164; scps\scps_econ.c:5546; scps\scps_econ.c:5546
SEED_PROV_CAP_MULT,3,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2089
SLAVE_AGIT_SHARE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:816
SLAVE_AGIT_W,60,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:818
NAVY_COMBAT_ON,0,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c; scps\scps_navy.c; scps\scps_sim.c,scps\navy_demo.c:28; scps\scps_campaign.c:519; scps\scps_campaign.c:571; scps\scps_navy.c:287; scps\scps_navy.c:417; scps\scps_sim.c:1610
EMBARK_NAVAL_COST,10,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\navy_demo.c:29; scps\scps_campaign.c:505; scps\scps_campaign.c:575
COUNCIL_CLASS_SAT_W,40,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:419
AI_COVET_W,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:475
AI_COMPLEMENT_W,1,aucune lecture moteur trouvee,non certifiee individuellement,,
AI_VASSAL_INTEGRATE_YEARS,20,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:404; scps\scps_diplo.c:404; scps\scps_doctrines.c:87
AI_VASSAL_CONTRIB_GATE,0.64999998,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:406; scps\scps_diplo.c:406; scps\scps_doctrines.c:88; scps\scps_doctrines.c:135
AI_VASSAL_CONTRIB_BASE,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:411; scps\scps_diplo.c:411; scps\scps_doctrines.c:88; scps\scps_doctrines.c:135
AI_ANNEX_MIN_INTEGRATION,0.64999998,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:477
AI_ANNEX_YEARS_PER_PRICE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:484
AI_ANNEX_GOLD_PER_PRICE,2,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:480
ANNEX_INTEGRATION_DISCOUNT,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:486; scps\scps_diplo.c:486; scps\scps_doctrines.c:91
ANNEX_SOFT_SCAR,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:492
ANNEX_SCAR_DECAY,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5419
ANNEX_SAT_W,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5333
OPINION_ALLY,50,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_doctrines.c:79; scps\scps_statecraft.c:574; scps\scps_statecraft.c:574; scps\scps_statecraft.c:738
OPINION_WAR,60,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:575; scps\scps_statecraft.c:738
OPINION_VASSAL,30,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:581; scps\scps_statecraft.c:739
OPINION_PACT,15,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_doctrines.c:79; scps\scps_statecraft.c:583; scps\scps_statecraft.c:583; scps\scps_statecraft.c:739
OPINION_EMBARGO,25,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:586; scps\scps_statecraft.c:740
OPINION_RANCOR_W,8,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_doctrines.c:81; scps\scps_statecraft.c:584; scps\scps_statecraft.c:740
OPINION_MEM_DECAY,0.00030000001,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_statecraft.c,scps\scps_api.c:2863; scps\scps_doctrines.c:81; scps\scps_statecraft.c:737
OPINION_MEM_BETRAYAL,35,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:623
OPINION_MEM_SECESSION,45,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:635
OPINION_MEM_CAP,100,lecture moteur presente,non certifiee individuellement,scps\scps_statecraft.c,scps\scps_statecraft.c:623; scps\scps_statecraft.c:635; scps\scps_statecraft.c:741
AI_OFFER_ALLY_OPINION,10,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:579; scps\scps_ai.c:579; scps\scps_doctrines.c:83
AI_OFFER_PACT_OPINION,0,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:589
AI_OFFER_MIG_OPINION,40,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:597; scps\scps_ai.c:597; scps\scps_doctrines.c:63; scps\scps_doctrines.c:83
WILD_PER_PLAYABLE,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c; scps\scps_world.c,scps\scps_econ.c:2208; scps\scps_world.c:2687; scps\scps_world.c:2688
WILD_POP,750,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2210
WILD_POP_VAR,0,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2210
WILD_CAP,1600,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2211
WILD_FOOD,8,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2211
WILD_SPAWN_HOPS,3,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2208
WILD_CULTURE_DISTINCT,1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:3247
WILD_DEFECT_YEARS,0,lecture moteur presente,non certifiee individuellement,scps\scps_sim.c,scps\scps_sim.c:85
WILD_HOARD,60,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2211
WILD_REGIMENTS,2,aucune lecture moteur trouvee,non certifiee individuellement,,
CS_TRADE_POOL,1000,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2140
HOUSE_MANUF,100,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_ai.c:1233; scps\scps_doctrines.c:107; scps\scps_econ.h:777; scps\scps_econ.h:777
MARKET_DIST_FALLOFF,0.12,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_doctrines.c:48; scps\scps_intertrade.c:1054
ARB_VOL_CAP,3,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_intertrade.c:1238
ARB_MIN_SPREAD,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_intertrade.c:1238
SYNC_TRADE_SEA_W,2,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2335
SYNC_TRADE_LAND_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2335
SYNC_TRADE_METIER,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2356; scps\scps_ai.c:2356; scps\scps_doctrines.c:120
SYNC_TRADE_PROFOND,2,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2355; scps\scps_ai.c:2355; scps\scps_doctrines.c:120
SYNC_TRADE_YIELDREF,5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2336
SYNC_FUSE_RATE,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_demography.c,scps\scps_api.c:1392; scps\scps_demography.c:925
CULTURE_NAME_MINOR_MIN,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:160
CULTURE_AUTONYM_GENERATION,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:281
CULTURE_RUIN_SUBSTRATE_W,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:6313
FAUST_SPAWN_CHARGE,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:132; scps\scps_econ.c:4576; scps\scps_econ.c:4576
CHARGE_DECAY,0.039999999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:131; scps\scps_econ.c:4348; scps\scps_econ.c:4348
ENTROPY_TERMINAL,4000,lecture moteur presente,non certifiee individuellement,scps\scps_prosperity.c,scps\scps_prosperity.c:189
FAUST_BRECHE_CAUTION,0.55000001,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2675; scps\scps_ai.c:3372
MANUF_BUILD_COST,50,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_api.c; scps\scps_econ.c; scps\scps_sim.c,scps\scps_ai.c:1116; scps\scps_ai.c:1155; scps\scps_ai.c:1272; scps\scps_api.c:3954; scps\scps_api.c:3954; scps\scps_api.c:3965; scps\scps_api.c:3966; scps\scps_doctrines.c:99; scps\scps_econ.c:2875; scps\scps_econ.c:2876; scps\scps_econ.c:6943; scps\scps_econ.c:6943; scps\scps_sim.c:870; scps\scps_sim.c:871; scps\scps_sim.c:892; scps\scps_sim.c:893
NF_SEED_PAID,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2873
MANUF_ARMS_MULT,10,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4432; scps\scps_econ.c:4514; scps\scps_econ.c:4519
BUILD_RESERVE_BULK,15,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:55; scps\scps_doctrines.c:104; scps\scps_econ.c:3580
BUILD_OWN_MATERIAL_PRICE,1,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_intertrade.c,scps\intertrade_demo.c:289; scps\scps_agency.c:320; scps\scps_intertrade.c:511
CLASS_LEND_SHARE,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:381
CLASS_EXPOSURE_SHARE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:378
ELITE_LEND_WEIGHT,1,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c; scps\scps_econ.c,scps\scps_credit.c:373; scps\scps_econ.c:4500
BOURGEOIS_LEND_WEIGHT,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c; scps\scps_econ.c,scps\scps_credit.c:373; scps\scps_econ.c:4500
CITYSTATE_LEND_SHARE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:320
LENDER_PORTFOLIO_SHARE,0.75,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:298
LENDER_DEBTOR_SHARE,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:299
LENDER_MEMORY,1,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\credit_demo.c:798; scps\credit_demo.c:801; scps\scps_credit.c:312
LENDER_RUIN_SHARE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\credit_demo.c:848; scps\credit_demo.c:852; scps\scps_credit.c:966
PRINCIPAL_REPAY_RATE,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:786
BUYBACK_DEBT_THRESHOLD,500,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:876
BUYBACK_IDLE_SHARE,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:877
DEBT_REVENUE_FLOOR,200,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:121; scps\scps_credit.c:128
DEBT_RATE_BASE,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:130
DEBT_RATE_LINEAR,0.015,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:131
DEBT_RATE_QUAD,0.0074999998,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:132
DEBT_RATE_MIN,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:133
DEBT_RATE_MAX,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\scps_credit.c:133
DEBT_FIXED,1,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_credit.c,scps\credit_demo.c:194; scps\credit_demo.c:202; scps\credit_demo.c:221; scps\credit_demo.c:263; scps\credit_demo.c:321; scps\credit_demo.c:636; scps\credit_demo.c:645; scps\credit_demo.c:646; scps\credit_demo.c:649; scps\scps_api.c:2403; scps\scps_api_demo.c:570; scps\scps_api_demo.c:574; scps\scps_credit.c:157; scps\scps_credit.c:259; scps\scps_credit.c:322; scps\scps_credit.c:380; scps\scps_credit.c:687
DEBT_DUE_FRAC,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_credit.c,scps\credit_demo.c:637; scps\credit_demo.c:646; scps\scps_api.c:2404; scps\scps_api_demo.c:551; scps\scps_credit.c:689
DEBT_DEFAULT_THRESHOLD,3000,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c,scps\credit_demo.c:244; scps\scps_credit.c:830
BANKRUPTCY_SCAR_YEARS,10,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5423
BANKRUPTCY_RANCOR,2,lecture moteur presente,non certifiee individuellement,scps\scps_sim.c,scps\scps_sim.c:1355; scps\scps_sim.c:1879
BANKRUPTCY_GRACE_YEARS,5,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c; scps\scps_econ.c,scps\scps_credit.c:837; scps\scps_econ.c:2585
DEBASE_MAX,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2573
DEBASE_AI_ONSET_YEARS,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2583
DEBASE_K_EROSION_RATE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5939
DEBASE_K_HEAL_RATE,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5946
DEBASE_ROT_RATE,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5942
DEBASE_TAX_K_REF,2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2313
DEBASE_TAX_EROSION_MAX,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2314
GENESIS_TREASURY_EMPIRE,2000,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1798
